"Produto","Proteina","Carboidratos","Gramas","Fibras","Calorias","Cluster"
"Raw, 2 by 2 1/2",0.004310344827586207,0.025423728813559324,0.15121501433469606,0.002553191489361702,0.03024193548387097,"cluster_0"
"Tomato juice",0.008620689655172414,0.0423728813559322,0.24281051638490872,0.002553191489361702,0.05040322580645161,"cluster_0"
"Tomato catsup",0.017241379310344827,0.01694915254237288,0.015857216860492924,0.0017021276595744683,0.015120967741935484,"cluster_0"
"Turnip greens",0.017241379310344827,0.03389830508474576,0.14612637533190648,0.007659574468085107,0.04536290322580645,"cluster_0"
"Turnips, steamed",0.004310344827586207,0.038135593220338986,0.15630365333748567,0.007659574468085107,0.04032258064516129,"cluster_0"
"Watercress stems, raw",0.004310344827586207,0.00423728813559322,0.049442234278904235,0.001276595744680851,0.00907258064516129,"cluster_0"
"Apple juice canned",0.017241379310344827,0.1440677966101695,0.25298779439048785,0,0.12600806451612903,"cluster_0"
"Apple vinegar",0.017241379310344827,0.012711864406779662,0.10032862430680015,0,0.014112903225806451,"cluster_0"
"Apples, raw",0.017241379310344827,0.07627118644067797,0.1308604583235377,0.00425531914893617,0.07056451612903225,"cluster_0"
"Stewed or canned",0.017241379310344827,0.11016949152542373,0.24281051638490872,0.00851063829787234,0.10080645161290322,"cluster_0"
"Apricots",0.008620689655172414,0.24152542372881355,0.25298779439048785,0.00425531914893617,0.2217741935483871,"cluster_1"
"Dried, uncooked",0.017241379310344827,0.211864406779661,0.07488542929285218,0.00425531914893617,0.2217741935483871,"cluster_1"
"Fresh",0.004310344827586207,0.059322033898305086,0.11457681351461099,0.002978723404255319,0.055443548387096774,"cluster_0"
"Nectar, or juice",0.004310344827586207,0.15254237288135594,0.25298779439048785,0.00851063829787234,0.1411290322580645,"cluster_0"
"Avocado",0.008620689655172414,0.025423728813559324,0.10847044671126349,0.007659574468085107,0.18649193548387097,"cluster_0"
"Banana",0.004310344827586207,0.09745762711864407,0.15121501433469606,0.0038297872340425534,0.08568548387096774,"cluster_0"
"Blackberries",0.008620689655172414,0.08050847457627118,0.14510864753134856,0.028085106382978724,0.08568548387096774,"cluster_0"
"Blueberries",0.004310344827586207,0.2754237288135593,0.25298779439048785,0.00851063829787234,0.2469758064516129,"cluster_1"
"Cantaloupe",0.004310344827586207,0.038135593220338986,0.38529240846301727,0.009361702127659575,0.04032258064516129,"cluster_0"
"Cherries",0.008620689655172414,0.11016949152542373,0.2601118889943933,0.00851063829787234,0.10080645161290322,"cluster_0"
"Fresh, raw",0.004310344827586207,0.0635593220338983,0.11457681351461099,0.0034042553191489366,0.0655241935483871,"cluster_0"
"Cranberry sauce sweetened",0.017241379310344827,0.6016949152542372,0.2804664450055517,0.005106382978723404,0.5342741935483871,"cluster_2"
"Dates",0.017241379310344827,0.5677966101694916,0.17971139275031778,0.015319148936170214,0.5090725806451613,"cluster_2"
"Figs",0.008620689655172414,0.1271186440677966,0.04130041187444088,0.008085106382978723,0.12096774193548387,"cluster_0"
"Fresh, raw figs",0.008620689655172414,0.09322033898305085,0.11457681351461099,0.00425531914893617,0.0907258064516129,"cluster_0"
"figs Canned with syrup ",0.004310344827586207,0.13559322033898305,0.11559454131516891,0.00425531914893617,0.1310483870967742,"cluster_0"
"Fruit cocktail, canned",0.004310344827586207,0.211864406779661,0.2590941611938354,0.002127659574468085,0.19657258064516128,"cluster_1"
"Grapefruit sections",0.004310344827586207,0.1864406779661017,0.25298779439048785,0.002127659574468085,0.17137096774193547,"cluster_1"
"Grapefruit, fresh, 5"" diameter",0.004310344827586207,0.059322033898305086,0.288608267410015,0.00425531914893617,0.05040322580645161,"cluster_0"
"Grapefruit juice",0.004310344827586207,0.1016949152542373,0.25298779439048785,0.00425531914893617,0.10080645161290322,"cluster_0"
"Grapes",0.004310344827586207,0.06779661016949153,0.15426819773636982,0.0034042553191489366,0.07056451612903225,"cluster_0"
"European, as Muscat, Tokay",0.004310344827586207,0.11016949152542373,0.16139229234027525,0.002978723404255319,0.10080645161290322,"cluster_0"
"Grape juice",0.004310344827586207,0.17796610169491525,0.25298779439048785,0.0017021276595744683,0.16129032258064516,"cluster_1"
"Lemon juice",0.017241379310344827,0.0423728813559322,0.1257718193207481,0.0017021276595744683,0.03024193548387097,"cluster_0"
"Lemonade concentratefrozen",0.017241379310344827,0.4745762711864407,0.22245596037375034,0.0017021276595744683,0.4334677419354839,"cluster_2"
"Limeade concentrate frozen",0.017241379310344827,0.4576271186440678,0.2204205047726345,0.0017021276595744683,0.40826612903225806,"cluster_2"
"Olives large",0.004310344827586207,0.012711864406779662,0.064708151287273,0.0034042553191489366,0.07258064516129031,"cluster_0"
"OlivesRipe",0.004310344827586207,0.00423728813559322,0.064708151287273,0.00425531914893617,0.10584677419354839,"cluster_0"
"Oranges 3"" diameter",0.008620689655172414,0.06779661016949153,0.18174684835143362,0.00425531914893617,0.06048387096774194,"cluster_0"
"Orange juice",0.008620689655172414,0.1059322033898305,0.25298779439048785,0.0008510638297872341,0.11290322580645161,"cluster_0"
"Frozen ",0.008620689655172414,0.3305084745762712,0.21227868236817116,0.0017021276595744683,0.3326612903225806,"cluster_1"
"Papaya",0.004310344827586207,0.07627118644067797,0.202101404362592,0.007659574468085107,0.07560483870967742,"cluster_0"
"Peaches",0.004310344827586207,0.22033898305084745,0.2601118889943933,0.00425531914893617,0.20161290322580644,"cluster_1"
"Fresh, raw",0.004310344827586207,0.0423728813559322,0.11457681351461099,0.002553191489361702,0.035282258064516125,"cluster_0"
"Pears",0.004310344827586207,0.211864406779661,0.25807643339327746,0.00851063829787234,0.19657258064516128,"cluster_1"
"Raw, 3 by 2V",0.004310344827586207,0.1059322033898305,0.18378230395254946,0.00851063829787234,0.10080645161290322,"cluster_0"
"Persimmons",0.004310344827586207,0.0847457627118644,0.1257718193207481,0.00851063829787234,0.07560483870967742,"cluster_0"
"Pineapple",0.017241379310344827,0.11016949152542373,0.12271863591907434,0.0017021276595744683,0.09576612903225806,"cluster_0"
"Pineapple Crushed",0.004310344827586207,0.2330508474576271,0.26316507239606707,0.002978723404255319,0.2066532258064516,"cluster_1"
"Raw, diced",0.004310344827586207,0.08050847457627118,0.1410377363291169,0.002553191489361702,0.07560483870967742,"cluster_0"
"Pineapple juice",0.004310344827586207,0.13559322033898305,0.25298779439048785,0.0008510638297872341,0.12096774193548387,"cluster_0"
"Plums",0.004310344827586207,0.211864406779661,0.2590941611938354,0.002978723404255319,0.18649193548387097,"cluster_1"
"Raw, 2"" diameter",0.017241379310344827,0.029661016949152543,0.059619512284483415,0.0008510638297872341,0.03024193548387097,"cluster_0"
"Prunes",0.01293103448275862,0.3432203389830508,0.27334235040164623,0.0034042553191489366,0.3024193548387097,"cluster_1"
"Prune juice",0.004310344827586207,0.1906779661016949,0.24281051638490872,0.002978723404255319,0.17137096774193547,"cluster_1"
"Raisins",0.008620689655172414,0.3474576271186441,0.08811589070010512,0.002978723404255319,0.2318548387096774,"cluster_1"
"Raspberries",0.017241379310344827,0.1059322033898305,0.10032862430680015,0.00851063829787234,0.10080645161290322,"cluster_0"
"Raw, red",0.017241379310344827,0.059322033898305086,0.10032862430680015,0.02127659574468085,0.057459677419354836,"cluster_0"
"Rhubarb sweetened",0.004310344827586207,0.4152542372881356,0.27334235040164623,0.008085106382978723,0.38810483870967744,"cluster_2"
"Strawberries",0.004310344827586207,0.2542372881355932,0.22958005497765577,0.005531914893617021,0.2439516129032258,"cluster_1"
"Raw",0.017241379310344827,0.05084745762711865,0.15019728653413816,0.008085106382978723,0.05443548387096774,"cluster_0"
"Tangerines",0.004310344827586207,0.0423728813559322,0.11457681351461099,0.00425531914893617,0.04032258064516129,"cluster_0"
"Watermelon",0.008620689655172414,0.1228813559322034,0.9399540597670827,0.015319148936170214,0.12096774193548387,"cluster_1"
"Biscuits",0.01293103448275862,0.07627118644067797,0.03722950067220921,0.0017021276595744683,0.1310483870967742,"cluster_0"
"Bran flakes",0.01293103448275862,0.13559322033898305,0.023999039264956272,0.00042553191489361707,0.11794354838709677,"cluster_0"
"Bread, cracked wheat",0.008620689655172414,0.05084745762711865,0.021963583663840432,0.00042553191489361707,0.06048387096774194,"cluster_0"
"Rye",0.008620689655172414,0.05084745762711865,0.021963583663840432,0.00042553191489361707,0.055443548387096774,"cluster_0"
"White, 20 slices, or",0.16810344827586207,0.9703389830508474,0.4606042657043032,0.03829787234042553,0.0012348790322580646,"cluster_2"
"Whole-wheat",0.20689655172413793,0.9152542372881356,0.4606042657043032,0.2872340425531915,0.0011088709677419355,"cluster_2"
"Whole-wheat",0.008620689655172414,0.046610169491525424,0.021963583663840432,0.0013191489361702128,0.055443548387096774,"cluster_0"
"Corn bread ground meal",0.01293103448275862,0.0635593220338983,0.049442234278904235,0.001276595744680851,0.10080645161290322,"cluster_0"
"Cornflakes",0.008620689655172414,0.1059322033898305,0.023999039264956272,0.00042553191489361707,0.11088709677419355,"cluster_0"
"Corn grits cooked",0.034482758620689655,0.11440677966101695,0.24484597198602456,0.0008510638297872341,0.12096774193548387,"cluster_0"
"Corn meal",0.03879310344827586,0.3135593220338983,0.11864772471684266,0.006808510638297873,0.3629032258064516,"cluster_1"
"Crackers",0.004310344827586207,0.0423728813559322,0.012804033458819171,0.0017021276595744683,0.055443548387096774,"cluster_0"
"Soda, 2 1/2 square",0.004310344827586207,0.03389830508474576,0.009750850057145415,0.0017021276595744683,0.04536290322580645,"cluster_0"
"Farina",0.01293103448275862,0.09322033898305085,0.24077506078379288,0.03404255319148936,0.10584677419354839,"cluster_0"
"Flour",0.16810344827586207,0.13983050847457626,0.11050590231237932,0.012340425531914893,0.4637096774193548,"cluster_1"
"Wheat (all purpose)",0.05172413793103448,0.3559322033898305,0.11050590231237932,0.001276595744680851,0.4032258064516129,"cluster_1"
"Wheat (whole)",0.05603448275862069,0.3347457627118644,0.12068318031795851,0.011914893617021275,0.39314516129032256,"cluster_1"
"Macaroni",0.021551724137931036,0.13559322033898305,0.1410377363291169,0.00042553191489361707,0.15625,"cluster_0"
"Baked with cheese",0.07758620689655173,0.1864406779661017,0.22245596037375034,0.0017021276595744683,0.4788306451612903,"cluster_1"
"Muffins",0.017241379310344827,0.08050847457627118,0.0474067786777884,0.0017021276595744683,0.13608870967741934,"cluster_0"
"Noodles",0.030172413793103446,0.15677966101694915,0.16139229234027525,0.00042553191489361707,0.20161290322580644,"cluster_1"
"Oatmeal",0.021551724137931036,0.11016949152542373,0.23873960518267703,0.01957446808510638,0.15120967741935484,"cluster_0"
"Pancakes 4"" diam.",0.030172413793103446,0.11864406779661017,0.10847044671126349,0.00042553191489361707,0.25201612903225806,"cluster_1"
